n_points_requested,v_err_mean,v_err_median,D_err_mean,D_err_median,D_err_q1,D_err_q3
10,8.41,2.5166666666666666,66.06,20.15,13.333333333333332,52.80833333333333
20,7.723333333333334,3.1833333333333336,52.36,17.333333333333336,10.125,58.49166666666667
50,7.723333333333334,3.15,52.986666666666665,18.6,10.833333333333334,63.53333333333333
100,7.63,3.0666666666666664,51.89333333333334,16.333333333333336,10.975000000000001,59.75833333333334
500,7.610000000000001,3.1333333333333333,51.410000000000004,14.933333333333334,10.741666666666667,59.45
full,7.613333333333334,3.1333333333333333,51.239999999999995,14.466666666666667,10.741666666666667,59.275000000000006
