exp,kind,n_points_requested,seed,v_gt,D_gt,v_err_pct,D_err_pct,rmse_pinn,interior_rmse_pinn,final_loss,rmse_dnn
Exp 3,load,20,2,0.00037277,2.4282e-07,0.7,12.7,0.0087,0.0245,0.04606,0.0012
Exp 3,load,10,0,0.00037277,2.4282e-07,2.4,14.6,0.0169,0.0197,0.1074,0.0032
Exp 3,load,10,1,0.00037277,2.4282e-07,0.8,4.0,0.015,0.0143,0.05115,0.012
Exp 3,load,10,2,0.00037277,2.4282e-07,1.2,9.7,0.0187,0.0176,0.04892,0.0046
Exp 4,unload,full,0,0.00029555,3.0763e-07,8.3,64.4,0.0189,0.0254,0.1171,0.0017
Exp 4,unload,full,1,0.00029555,3.0763e-07,7.2,52.9,0.02,0.0215,0.08192,0.0017
Exp 4,unload,full,2,0.00029555,3.0763e-07,8.6,98.5,0.03,0.0255,0.08433,0.0017
Exp 4,unload,500,0,0.00029555,3.0763e-07,8.2,64.3,0.0197,0.0225,0.1167,0.0016
Exp 4,unload,500,1,0.00029555,3.0763e-07,7.2,53.0,0.0209,0.0208,0.0842,0.0014
Exp 4,unload,500,2,0.00029555,3.0763e-07,8.6,99.0,0.022,0.0322,0.07186,0.0017
Exp 4,unload,100,0,0.00029555,3.0763e-07,8.5,66.3,0.0197,0.0235,0.1171,0.0016
Exp 4,unload,100,1,0.00029555,3.0763e-07,7.2,53.4,0.0201,0.0216,0.08202,0.0015
Exp 4,unload,100,2,0.00029555,3.0763e-07,8.6,97.7,0.0222,0.0321,0.07044,0.0017
Exp 4,unload,50,0,0.00029555,3.0763e-07,9.9,81.4,0.0215,0.0267,0.1286,0.0016
Exp 4,unload,50,1,0.00029555,3.0763e-07,7.0,51.1,0.0202,0.0209,0.08027,0.0015
Exp 4,unload,50,2,0.00029555,3.0763e-07,8.7,99.5,0.0225,0.0321,0.07043,0.0016
Exp 4,unload,20,0,0.00029555,3.0763e-07,9.5,74.8,0.0206,0.0256,0.1366,0.0023
Exp 4,unload,20,1,0.00029555,3.0763e-07,6.8,47.9,0.0192,0.0187,0.09031,0.0039
Exp 4,unload,20,2,0.00029555,3.0763e-07,7.6,87.2,0.0467,0.0277,0.1904,0.0035
Exp 4,unload,10,0,0.00029555,3.0763e-07,12.3,68.4,0.0329,0.0338,0.1124,0.0395
Exp 4,unload,10,1,0.00029555,3.0763e-07,9.4,34.1,0.0314,0.0276,0.05514,0.0377
Exp 4,unload,10,2,0.00029555,3.0763e-07,11.5,76.6,0.0464,0.0549,0.06582,0.0361
Exp 5,load,full,0,0.00065392,6.569e-07,1.1,17.3,0.0096,0.021,0.05893,0.0016
Exp 5,load,full,1,0.00065392,6.569e-07,1.5,14.3,0.0102,0.0198,0.0529,0.0035
Exp 5,load,full,2,0.00065392,6.569e-07,0.7,0.2,0.0111,0.0233,0.03568,0.0015
Exp 5,load,500,0,0.00065392,6.569e-07,1.1,17.6,0.0126,0.017,0.05954,0.0016
Exp 5,load,500,1,0.00065392,6.569e-07,1.5,14.0,0.0103,0.0201,0.05403,0.0018
Exp 5,load,500,2,0.00065392,6.569e-07,0.7,0.1,0.0126,0.0208,0.03636,0.0015
Exp 5,load,100,0,0.00065392,6.569e-07,1.1,17.7,0.0094,0.0219,0.05954,0.0016
Exp 5,load,100,1,0.00065392,6.569e-07,1.5,13.8,0.0102,0.0211,0.0533,0.0018
Exp 5,load,100,2,0.00065392,6.569e-07,0.6,0.6,0.011,0.0238,0.03576,0.0015
Exp 5,load,50,0,0.00065392,6.569e-07,1.1,18.2,0.0096,0.0208,0.06034,0.0017
Exp 5,load,50,1,0.00065392,6.569e-07,1.6,12.8,0.0108,0.0195,0.0569,0.0107
Exp 5,load,50,2,0.00065392,6.569e-07,0.7,0.5,0.0111,0.0237,0.03533,0.0053
Exp 5,load,20,0,0.00065392,6.569e-07,1.2,16.8,0.0103,0.0216,0.06024,0.0023
Exp 5,load,20,1,0.00065392,6.569e-07,2.5,2.1,0.0138,0.0215,0.06412,0.0026
Exp 5,load,20,2,0.00065392,6.569e-07,0.8,3.1,0.0144,0.028,0.04109,0.0022
Exp 5,load,10,0,0.00065392,6.569e-07,0.4,28.2,0.0092,0.0235,0.06123,0.0032
Exp 5,load,10,1,0.00065392,6.569e-07,0.7,21.5,0.0121,0.0266,0.06059,0.0103
Exp 5,load,10,2,0.00065392,6.569e-07,0.3,10.2,0.0086,0.0246,0.03401,0.0044
Exp 6,unload,full,0,0.00059422,8.0679e-07,18.3,128.2,0.0273,0.0428,0.1541,0.0018
Exp 6,unload,full,1,0.00059422,8.0679e-07,12.7,76.1,0.022,0.0281,0.08293,0.0017
Exp 6,unload,full,2,0.00059422,8.0679e-07,17.5,154.7,0.0241,0.0432,0.08477,0.0018
Exp 6,unload,500,0,0.00059422,8.0679e-07,18.3,128.4,0.0258,0.0384,0.1507,0.0018
Exp 6,unload,500,1,0.00059422,8.0679e-07,12.7,76.7,0.0221,0.0282,0.08263,0.0016
Exp 6,unload,500,2,0.00059422,8.0679e-07,17.5,154.4,0.0241,0.0431,0.08468,0.0018
Exp 6,unload,100,0,0.00059422,8.0679e-07,18.3,129.0,0.0258,0.0386,0.1504,0.0018
Exp 6,unload,100,1,0.00059422,8.0679e-07,12.7,76.9,0.0221,0.0282,0.08318,0.0017
Exp 6,unload,100,2,0.00059422,8.0679e-07,17.4,153.7,0.0241,0.043,0.08479,0.0018
Exp 6,unload,50,0,0.00059422,8.0679e-07,18.3,128.5,0.0259,0.0385,0.1501,0.0018
Exp 6,unload,50,1,0.00059422,8.0679e-07,12.7,76.6,0.0504,0.0615,0.1829,0.0017
Exp 6,unload,50,2,0.00059422,8.0679e-07,17.5,154.7,0.024,0.0432,0.08556,0.002
Exp 6,unload,20,0,0.00059422,8.0679e-07,18.3,130.3,0.0284,0.0419,0.1315,0.006
Exp 6,unload,20,1,0.00059422,8.0679e-07,13.5,85.0,0.0255,0.0305,0.06771,0.0061
Exp 6,unload,20,2,0.00059422,8.0679e-07,17.7,156.8,0.0271,0.0437,0.06862,0.0065
Exp 6,unload,10,0,0.00059422,8.0679e-07,22.3,234.1,0.0527,0.0526,0.09405,0.0449
Exp 6,unload,10,1,0.00059422,8.0679e-07,19.3,207.0,0.0501,0.0481,0.0483,0.0454
Exp 6,unload,10,2,0.00059422,8.0679e-07,21.8,262.9,0.0543,0.0564,0.0467,0.0452
Exp 7,load,full,0,0.0011399,1.6781e-06,4.5,1.2,0.0199,0.0167,0.07472,0.0015
Exp 7,load,full,1,0.0011399,1.6781e-06,5.9,15.4,0.0243,0.0169,0.06729,0.0015
Exp 7,load,full,2,0.0011399,1.6781e-06,4.4,16.9,0.0182,0.0286,0.04882,0.0015
Exp 7,load,500,0,0.0011399,1.6781e-06,4.5,1.2,0.0179,0.0192,0.07023,0.0014
Exp 7,load,500,1,0.0011399,1.6781e-06,5.9,15.6,0.0181,0.0249,0.05556,0.0015
Exp 7,load,500,2,0.0011399,1.6781e-06,4.4,17.0,0.0182,0.0288,0.04868,0.0037
Exp 7,load,100,0,0.0011399,1.6781e-06,4.5,1.5,0.0164,0.0283,0.07147,0.0016
Exp 7,load,100,1,0.0011399,1.6781e-06,6.0,16.8,0.0185,0.0246,0.05677,0.0015
Exp 7,load,100,2,0.0011399,1.6781e-06,4.4,17.1,0.0183,0.0285,0.04836,0.0023
Exp 7,load,50,0,0.0011399,1.6781e-06,4.5,1.4,0.0179,0.0193,0.06982,0.0014
Exp 7,load,50,1,0.0011399,1.6781e-06,6.1,17.3,0.0189,0.0245,0.05763,0.0015
Exp 7,load,50,2,0.0011399,1.6781e-06,4.5,16.8,0.0183,0.0283,0.04791,0.0139
Exp 7,load,20,0,0.0011399,1.6781e-06,4.2,1.4,0.0156,0.0238,0.07032,0.0047
Exp 7,load,20,1,0.0011399,1.6781e-06,5.7,16.7,0.0182,0.0249,0.05823,0.0021
Exp 7,load,20,2,0.0011399,1.6781e-06,4.2,17.3,0.0179,0.0282,0.05089,0.0046
Exp 7,load,10,0,0.0011399,1.6781e-06,5.9,17.9,0.0294,0.0307,0.07781,0.0151
Exp 7,load,10,1,0.0011399,1.6781e-06,4.5,23.7,0.0274,0.031,0.03366,0.0165
Exp 7,load,10,2,0.0011399,1.6781e-06,4.9,14.9,0.0308,0.0377,0.03376,0.0166
Exp 8,unload,full,0,0.0010508,1.8462e-06,36.5,231.7,0.0213,0.0599,0.1214,0.0022
Exp 8,unload,full,1,0.0010508,1.8462e-06,34.6,211.8,0.0235,0.0555,0.0993,0.0019
Exp 8,unload,full,2,0.0010508,1.8462e-06,35.1,263.5,0.021,0.0586,0.08107,0.0018
Exp 8,unload,500,0,0.0010508,1.8462e-06,36.5,231.7,0.0254,0.0621,0.1165,0.0021
Exp 8,unload,500,1,0.0010508,1.8462e-06,34.6,212.2,0.0261,0.0517,0.1195,0.002
Exp 8,unload,500,2,0.0010508,1.8462e-06,35.1,263.6,0.021,0.0586,0.08089,0.0018
Exp 8,unload,100,0,0.0010508,1.8462e-06,36.5,230.4,0.0228,0.0568,0.1157,0.0021
Exp 8,unload,100,1,0.0010508,1.8462e-06,34.7,212.9,0.0238,0.0548,0.09863,0.0081
Exp 8,unload,100,2,0.0010508,1.8462e-06,35.2,264.0,0.0211,0.0588,0.0817,0.0018
Exp 8,unload,50,0,0.0010508,1.8462e-06,36.8,234.5,0.023,0.0545,0.116,0.0025
Exp 8,unload,50,1,0.0010508,1.8462e-06,34.7,213.5,0.0235,0.0559,0.09749,0.0024
Exp 8,unload,50,2,0.0010508,1.8462e-06,35.1,263.5,0.0203,0.0617,0.0846,0.0022
Exp 8,unload,20,0,0.0010508,1.8462e-06,36.8,231.0,0.0277,0.0545,0.1093,0.0098
Exp 8,unload,20,1,0.0010508,1.8462e-06,34.6,209.9,0.0364,0.0494,0.1129,0.0098
Exp 8,unload,20,2,0.0010508,1.8462e-06,35.0,260.5,0.0254,0.0594,0.06841,0.011
Exp 8,unload,10,0,0.0010508,1.8462e-06,38.0,243.8,0.0222,0.0619,0.116,0.0241
Exp 8,unload,10,1,0.0010508,1.8462e-06,34.8,209.6,0.0259,0.0527,0.1171,0.0219
Exp 8,unload,10,2,0.0010508,1.8462e-06,36.5,278.5,0.024,0.0599,0.07054,0.0208
Exp 9,load,full,0,6.5103e-05,2.724e-08,2.7,24.1,0.0069,0.02,0.1188,0.0018
Exp 9,load,full,1,6.5103e-05,2.724e-08,2.4,12.9,0.005,0.0167,0.05016,0.0013
Exp 9,load,full,2,6.5103e-05,2.724e-08,0.7,3.0,0.0036,0.02,0.03383,0.0055
Exp 9,load,500,0,6.5103e-05,2.724e-08,2.7,25.5,0.0107,0.0252,0.119,0.0019
Exp 9,load,500,1,6.5103e-05,2.724e-08,2.4,12.5,0.0064,0.0183,0.05275,0.0026
Exp 9,load,500,2,6.5103e-05,2.724e-08,0.7,3.5,0.0036,0.0202,0.03346,0.0019
Exp 9,load,100,0,6.5103e-05,2.724e-08,2.9,29.7,0.0073,0.0205,0.1231,0.0019
Exp 9,load,100,1,6.5103e-05,2.724e-08,2.4,13.4,0.0052,0.0169,0.05083,0.0131
Exp 9,load,100,2,6.5103e-05,2.724e-08,1.0,6.5,0.004,0.02,0.03009,0.0024
Exp 9,load,50,0,6.5103e-05,2.724e-08,3.3,42.7,0.0079,0.0222,0.1296,0.0019
Exp 9,load,50,1,6.5103e-05,2.724e-08,2.4,12.6,0.0052,0.0167,0.05199,0.0014
Exp 9,load,50,2,6.5103e-05,2.724e-08,1.2,8.9,0.0039,0.02,0.02866,0.0019
Exp 9,load,20,0,6.5103e-05,2.724e-08,3.1,44.6,0.0081,0.0215,0.1265,0.0022
Exp 9,load,20,1,6.5103e-05,2.724e-08,2.6,13.3,0.0054,0.0168,0.05408,0.0016
Exp 9,load,20,2,6.5103e-05,2.724e-08,0.6,1.1,0.0038,0.0197,0.03509,0.0021
Exp 9,load,10,0,6.5103e-05,2.724e-08,2.8,42.0,0.0094,0.0196,0.1207,0.0038
Exp 9,load,10,1,6.5103e-05,2.724e-08,2.4,9.4,0.0069,0.0159,0.05614,0.0049
Exp 9,load,10,2,6.5103e-05,2.724e-08,0.2,9.6,0.0037,0.0212,0.04029,0.0051
Exp 10,unload,full,0,5.4899e-05,2.3984e-08,1.3,22.6,0.0039,0.0185,0.0852,0.0018
Exp 10,unload,full,1,5.4899e-05,2.3984e-08,1.5,11.5,0.0039,0.0141,0.0684,0.0019
Exp 10,unload,full,2,5.4899e-05,2.3984e-08,0.4,12.7,0.0108,0.0163,0.04476,0.0018
Exp 10,unload,500,0,5.4899e-05,2.3984e-08,1.3,22.9,0.0043,0.0178,0.08541,0.0169
Exp 10,unload,500,1,5.4899e-05,2.3984e-08,1.5,12.3,0.0038,0.0143,0.06832,0.0024
Exp 10,unload,500,2,5.4899e-05,2.3984e-08,0.4,12.9,0.0054,0.0203,0.04178,0.0021
Exp 10,unload,100,0,5.4899e-05,2.3984e-08,1.3,22.8,0.0044,0.0194,0.0859,0.0019
Exp 10,unload,100,1,5.4899e-05,2.3984e-08,1.5,12.0,0.0043,0.0163,0.06788,0.0106
Exp 10,unload,100,2,5.4899e-05,2.3984e-08,0.4,13.6,0.0081,0.0223,0.04471,0.0024
Exp 10,unload,50,0,5.4899e-05,2.3984e-08,1.3,22.6,0.049,0.0368,0.2345,0.002
Exp 10,unload,50,1,5.4899e-05,2.3984e-08,1.6,11.5,0.0037,0.0143,0.06857,0.002
Exp 10,unload,50,2,5.4899e-05,2.3984e-08,0.5,13.3,0.0053,0.0206,0.04164,0.0019
Exp 10,unload,20,0,5.4899e-05,2.3984e-08,1.3,22.3,0.0042,0.0183,0.08383,0.002
Exp 10,unload,20,1,5.4899e-05,2.3984e-08,1.7,7.9,0.0043,0.0137,0.06961,0.002
Exp 10,unload,20,2,5.4899e-05,2.3984e-08,0.5,14.8,0.0062,0.0225,0.04654,0.002
Exp 10,unload,10,0,5.4899e-05,2.3984e-08,1.6,21.1,0.0055,0.0183,0.08392,0.0029
Exp 10,unload,10,1,5.4899e-05,2.3984e-08,2.1,0.7,0.0097,0.0151,0.07326,0.0084
Exp 10,unload,10,2,5.4899e-05,2.3984e-08,1.1,12.7,0.0085,0.022,0.04131,0.0023
